# t/min, T/Grad Celsius, I/pA
0, -49.3, 2.7
1, -47.5, 2.7
2, -45.7, 2.7
3, -43.8, 2.65
4, -42.0, 2.55
5, -40.2, 2.45
6, -38.3, 2.25
7, -36.4, 2.0
8, -34.3, 1.65
9, -32.0, 1.05
10, -29.8, 1.0
11, -28.0, -1.5
12, -26.0, -1.9
13, -24.3, -3.4
14, -22.4, -4.8
15, -20.4, -6.5
16, -18.5, -8.9
17, -16.4, -11.0
18, -14.4, -13.0
19, -12.3, -14.5
20, -10.2, -14.5
21, -8.2, -13.0
22, -6.3, -11.0
23, -4.4, -8.5
24, -2.5, -6.3
25, -0.07, -4.8
26, 1.1, -4.2
27, 3.4, -4.4
28, 5.4, -5.1
29, 7.9, -5.8
30, 9.9, -6.4
31, 11.4, -6.8
32, 13.2, -7.2
33, 14.9, -7.8
34, 16.8, -8.6
35, 18.9, -10.0
36, 21.2, -11.5
37, 23.4, -13.5
38, 25.5, -15.0
39, 27.5, -17.5
40, 29.4, -20.0
41, 31.4, -23.0
42, 33.4, -26.5
43, 35.4, -31.0
44, 37.7, -35.0
45, 39.8, -39.5
46, 41.8, -43.0
47, 43.8, -44.0
48, 45.7, -44.0
49, 47.8, -43.0
50, 49.7, -39.5
51, 51.6, -36.0
